step,S_curr,S_next,diff_S,I,S_norm,I_norm,action,delta_I,reward,phi_0,phi_1,phi_2,cumulative_reward
10,0.9684394597735326,1.1001980423608124,0.1317585825872798,0.0,-0.06312108045293474,0.0,-10.0,-10.0,-0.5,0.0,1.0,0.0,-0.5
11,1.1001980423608124,0.9425439446874817,-0.15765409767333072,-10.0,0.20039608472162485,-1.0,-10.0,0.0,1.5765409767333072,0.0,1.0,0.0,1.0765409767333072
12,0.9425439446874817,0.9864819249276755,0.0439379802401938,-10.0,-0.11491211062503659,-1.0,-10.0,0.0,-0.43937980240193797,0.0,1.0,0.0,0.6371611743313692
13,0.9864819249276755,1.0017279337542797,0.015246008826604207,-10.0,-0.027036150144648996,-1.0,-10.0,0.0,-0.15246008826604207,0.0,1.0,0.0,0.48470108606532714
14,1.0017279337542797,0.9346529396403204,-0.06707499411395934,-10.0,0.003455867508559418,-1.0,-10.0,0.0,0.6707499411395934,0.0,1.0,0.0,1.1554510272049205
15,0.9346529396403204,0.9511814692449104,0.01652852960459006,-10.0,-0.13069412071935926,-1.0,-10.0,0.0,-0.1652852960459006,0.0,1.0,0.0,0.99016573115902
16,0.9511814692449104,0.9675293779910624,0.016347908746151996,-10.0,-0.09763706151017915,-1.0,-10.0,0.0,-0.16347908746151996,0.0,1.0,0.0,0.8266866436975
17,0.9675293779910624,0.8983369287789194,-0.06919244921214307,-10.0,-0.06494124401787515,-1.0,-10.0,0.0,0.6919244921214307,0.0,1.0,0.0,1.5186111358189307
18,0.8983369287789194,1.00556332877129,0.1072263999923706,-10.0,-0.2033261424421613,-1.0,-10.0,0.0,-1.072263999923706,0.0,1.0,0.0,0.4463471358952247
19,1.00556332877129,1.1636784084099612,0.15811507963867122,-10.0,0.01112665754257991,-1.0,-10.0,0.0,-1.5811507963867122,0.0,1.0,0.0,-1.1348036604914875
20,1.1636784084099612,1.0676925629943512,-0.09598584541560995,-10.0,0.32735681681992235,-1.0,-10.0,0.0,0.9598584541560995,0.0,1.0,0.0,-0.17494520633538801
21,1.0676925629943512,1.0437413383284015,-0.023951224665949677,-10.0,0.13538512598870245,-1.0,-10.0,0.0,0.23951224665949677,0.0,1.0,0.0,0.06456704032410876
