t,S,theta,kappa,sigma,I
0.000000000000000000e+00,9.559816838623349522e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.248392300140842792e+00
2.000000000000000111e-01,1.224534377354550507e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.425095441871924606e+00
4.000000000000000222e-01,1.161683802333619786e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.270661486738930535e+00
6.000000000000000888e-01,1.171622022764664983e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.300202526577876938e+00
8.000000000000000444e-01,1.189481057840884981e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.465637975948389737e-01
1.000000000000000000e+00,1.123697096415361418e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.312055280743832597e+00
1.200000000000000178e+00,1.092501918710667264e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.578260976779930047e+00
1.400000000000000133e+00,1.114943346007297942e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.242870284054230723e+00
1.600000000000000089e+00,1.180832761114402496e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.834474863875087181e+00
1.800000000000000044e+00,1.176142781429984963e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.096088999550961063e+00
2.000000000000000000e+00,9.908452708610301363e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.273305800605655236e+00
2.200000000000000178e+00,9.626065057161592442e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.704988242876687821e-01
2.400000000000000355e+00,1.182321899057670711e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.345435583555506298e-01
2.600000000000000089e+00,1.067323595286373550e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.126948144171716848e+00
2.800000000000000266e+00,8.931065069975713255e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.607488352380730845e+00
3.000000000000000000e+00,9.478895950332506537e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.895095850016735639e+00
3.200000000000000178e+00,1.074019573930910187e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.282816483231417948e-01
3.400000000000000355e+00,1.097593361689795044e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.245768051924546427e+00
3.600000000000000089e+00,1.229334465407009302e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.797052334715921518e-01
3.800000000000000266e+00,9.583844118621543950e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.194808339922690976e+00
4.000000000000000000e+00,1.249370365654392856e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.927978921842864679e+00
4.200000000000000178e+00,8.876437057778243656e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.012789210031300513e+00
4.400000000000000355e+00,1.166325363855782893e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.958729431776248475e+00
4.600000000000000533e+00,1.042967227700932753e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.943230603018257341e+00
4.800000000000000711e+00,1.096030567560372315e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.174702124196381092e+00
5.000000000000000000e+00,1.212520302335390321e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.775177412535846599e+00
5.200000000000000178e+00,1.284232108748822210e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.632985213240852218e+00
5.400000000000000355e+00,1.144958680540124396e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.356844518508136588e+00
5.600000000000000533e+00,1.133363541285457909e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.237766512692605403e+00
5.800000000000000711e+00,1.025811033460915178e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.082784331703376068e+00
6.000000000000000000e+00,1.280990419338823738e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.943357342068326332e+00
6.200000000000000178e+00,1.207577857393901333e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.165293459390959185e+00
6.400000000000000355e+00,1.149455408940944778e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.445290292001949695e+00
6.600000000000000533e+00,1.051714427436842625e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.710767420353501933e+00
6.800000000000000711e+00,1.217474321846918173e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.647074897317168052e+00
7.000000000000000000e+00,9.355845423327835420e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.400657228470228333e+00
7.200000000000000178e+00,1.105353854342334463e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.459105131499095265e+00
7.400000000000000355e+00,1.118309640327561638e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.304508096054409094e+00
7.600000000000000533e+00,1.169654581616882849e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.737166205089614834e+00
