t,S,theta,kappa,sigma
0.000000000000000000e+00,9.864182478961118772e-01,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.002298761725975762e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
4.000000000000000222e-01,9.662006263165198172e-01,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
6.000000000000000888e-01,1.002011237134782240e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
8.000000000000000444e-01,1.047581702219458455e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.012308458862096971e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
1.200000000000000178e+00,9.793568703905873862e-01,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
1.400000000000000133e+00,1.054616442343901950e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
1.600000000000000089e+00,1.004969600585809308e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
1.800000000000000044e+00,9.749986151221744501e-01,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000000e+00,1.065995340043594419e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
2.200000000000000178e+00,9.799539845941598326e-01,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
2.400000000000000355e+00,9.914476768246262006e-01,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
2.600000000000000089e+00,9.910590236247295293e-01,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
2.800000000000000266e+00,1.032387017405248297e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
3.000000000000000000e+00,9.343159313203293070e-01,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
3.200000000000000178e+00,1.097450382125952029e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01
3.400000000000000355e+00,1.012634001517530136e+00,1.000000000000000000e+00,7.000000000000000000e+00,2.999999999999999889e-01
3.600000000000000089e+00,1.216325433599385608e+00,1.000000000000000000e+00,7.000000000000000000e+00,2.999999999999999889e-01
